KMeansCluster,Description,Quantity,Country
0,WORLD WAR 2 GLIDERS ASSTD DESIGNS,76192,United Kingdom
0,WHITE HANGING HEART T-LIGHT HOLDER,72237,United Kingdom
0,ASSORTED COLOUR BIRD ORNAMENT,51319,United Kingdom
0,JUMBO BAG RED RETROSPOT,44701,United Kingdom
0,PACK OF 60 PINK PAISLEY CAKE CASES,38816,United Kingdom
0,60 TEATIME FAIRY CAKE CASES,38351,United Kingdom
0,VICTORIAN GLASS HANGING T-LIGHT,34431,United Kingdom
0,PACK OF 12 LONDON TISSUES ,32075,United Kingdom
0,GIRLS ALPHABET IRON ON PATCHES ,31488,United Kingdom
0,COLOUR GLASS T-LIGHT HOLDER HANGING,30924,United Kingdom
0,ASSORTED COLOURS SILK FAN,30313,United Kingdom
0,SMALL CHINESE STYLE SCISSOR,30047,United Kingdom
0,PACK OF 72 SKULL CAKE CASES,29946,United Kingdom
0,PACK OF 72 RETRO SPOT CAKE CASES,29159,United Kingdom
0,STRAWBERRY CERAMIC TRINKET BOX,28272,United Kingdom
0,PACK OF 72 RETROSPOT CAKE CASES,26544,United Kingdom
0,BROCADE RING PURSE ,25943,United Kingdom
0,72 SWEETHEART FAIRY CAKE CASES,25210,United Kingdom
0,PLACE SETTING WHITE HEART,24217,United Kingdom
0,PAPER CHAIN KIT 50'S CHRISTMAS ,24152,United Kingdom
0,GIRLS ALPHABET IRON ON PATCHES ,1728,Germany
0,ROUND SNACK BOXES SET OF4 WOODLAND ,1258,Germany
0,WOODLAND CHARLOTTE BAG,1150,Germany
0,POSTAGE,1007,Germany
0,PACK OF 6 BIRDY GIFT TAGS,900,Germany
0,BOYS ALPHABET IRON ON PATCHES,864,Germany
0,PLASTERS IN TIN WOODLAND ANIMALS,833,Germany
0,PACK OF 60 MUSHROOM CAKE CASES,828,Germany
0,PACK OF 72 RETROSPOT CAKE CASES,810,Germany
0,JUMBO BAG WOODLAND ANIMALS,804,Germany
0,ROUND SNACK BOXES SET OF 4 FRUITS ,715,Germany
0,POPART WOODEN PENCILS ASST,700,Germany
0,ASSORTED COLOURS SILK FAN,672,Germany
0,RED TOADSTOOL LED NIGHT LIGHT,656,Germany
0,JUMBO BAG RED RETROSPOT,632,Germany
0,SPACEBOY LUNCH BOX ,620,Germany
0,PLASTERS IN TIN SPACEBOY,610,Germany
0,PLASTERS IN TIN CIRCUS PARADE ,594,Germany
0,LUNCH BAG WOODLAND,583,Germany
0,PACK OF 12 WOODLAND TISSUES ,552,Germany
0,MINI PAINT SET VINTAGE ,1224,France
0,PACK OF 72 RETROSPOT CAKE CASES,960,France
0,PACK OF 72 SKULL CAKE CASES,914,France
0,RABBIT NIGHT LIGHT,880,France
0,MINI WOODEN HAPPY BIRTHDAY GARLAND,864,France
0,SET/6 RED SPOTTY PAPER PLATES,756,France
0,SET/6 RED SPOTTY PAPER CUPS,744,France
0,RED TOADSTOOL LED NIGHT LIGHT,739,France
0,MINI JIGSAW SPACEBOY,665,France
0,SMALL RED RETROSPOT WINDMILL,600,France
0,POSTAGE,580,France
0,WRAP CHRISTMAS VILLAGE,575,France
0,SPACEBOY LUNCH BOX ,532,France
0,MAGIC DRAWING SLATE CIRCUS PARADE  ,530,France
0,PLASTERS IN TIN WOODLAND ANIMALS,504,France
0,WOODEN HAPPY BIRTHDAY GARLAND,492,France
0,PLASTERS IN TIN CIRCUS PARADE ,432,France
0,WORLD WAR 2 GLIDERS ASSTD DESIGNS,432,France
0,PLASTERS IN TIN SPACEBOY,422,France
0,SET OF 9 BLACK SKULL BALLOONS,420,France
0,RED POLKA DOT TISSUE BOX,516,Netherlands
0,FOLKART ZINC HEART CHRISTMAS DEC,360,Netherlands
0,DINOSAUR KEYRINGS ASSORTED,252,Netherlands
0,HAND WARMER BIRD DESIGN,240,Netherlands
0,ENVELOPE 50 CURIOUS IMAGES,228,Netherlands
0,ZINC METAL HEART DECORATION,216,Netherlands
0,WRAP PINK FAIRY CAKES ,200,Netherlands
0,RED TOADSTOOL LED NIGHT LIGHT,178,Netherlands
0,ENVELOPE 50 BLOSSOM IMAGES,144,Netherlands
0,HEART IVORY TRELLIS SMALL,144,Netherlands
0,MINI PAINT SET VINTAGE ,144,Netherlands
0,PLASTERS IN TIN CIRCUS PARADE ,144,Netherlands
0,WHITE HANGING HEART T-LIGHT HOLDER,140,Netherlands
0,POSTAGE,129,Netherlands
0,PLASTERS IN TIN STRONGMAN,122,Netherlands
0,DOLLY GIRL LUNCH BOX,120,Netherlands
0,MAGIC DRAWING SLATE DOLLY GIRL ,120,Netherlands
0,MAGIC DRAWING SLATE SPACEBOY ,120,Netherlands
0,PACK OF 60 SPACEBOY CAKE CASES,120,Netherlands
0,PACK OF 72 SKULL CAKE CASES,120,Netherlands
